codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;departamento_guid
08;08001;ATLÁNTICO;BARRANQUILLA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08078;ATLÁNTICO;BARANOA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08137;ATLÁNTICO;CAMPO DE LA CRUZ;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08141;ATLÁNTICO;CANDELARIA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08296;ATLÁNTICO;GALAPA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08372;ATLÁNTICO;JUAN DE ACOSTA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08421;ATLÁNTICO;LURUACO;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08433;ATLÁNTICO;MALAMBO;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08436;ATLÁNTICO;MANATÍ;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08520;ATLÁNTICO;PALMAR DE VARELA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08549;ATLÁNTICO;PIOJÓ;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08558;ATLÁNTICO;POLONUEVO;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08560;ATLÁNTICO;PONEDERA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08573;ATLÁNTICO;PUERTO COLOMBIA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08606;ATLÁNTICO;REPELÓN;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08634;ATLÁNTICO;SABANAGRANDE;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08638;ATLÁNTICO;SABANALARGA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08675;ATLÁNTICO;SANTA LUCÍA;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08685;ATLÁNTICO;SANTO TOMÁS;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08758;ATLÁNTICO;SOLEDAD;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08770;ATLÁNTICO;SUAN;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08832;ATLÁNTICO;TUBARÁ;1205920d-5f2a-426c-a6ee-1a64d20130b0
08;08849;ATLÁNTICO;USIACURÍ;1205920d-5f2a-426c-a6ee-1a64d20130b0
11;11001;BOGOTÁ. D.C.;BOGOTÁ. D.C.;e16028ce-2c3c-4ddd-88e8-7342931bb650
13;13001;BOLÍVAR;CARTAGENA DE INDIAS;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13006;BOLÍVAR;ACHÍ;35c6840d-d6e5-4b6b-99d9-23da7ba74321
